ÍNDICE DE DENSIDAD DEL ESTADO 2012: DEPARTAMENTAL Y PROVINCIAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ubigeo 2010,DEPARTAMENTO,,,,,,IDE,,IDENTIDAD,,SALUD,,EDUCACIÓN,,SANEAMIENTO,,ELECTRIFICACIÓN,
,,,,,Población 2012,,Índice de Densidad del Estado,,Población con acta nacimiento o DNI,,"Médicos por cada 10,000 habitantes",,Tasa asistencia a Secundaria (Pob. 12 a 16 años),,Viviendas con agua y desague,,Viviendas electrificadas,
,,Provincia,,,,,,,,,,,,,,,,
,,Distrito,,, habitantes ,ranking, IDE ,ranking,%,ranking,Razon,ranking,%,ranking,%,ranking,%,Ranking
,,,,,,,,,,,,,,,,,,
000000,PERÚ  a/,,,,"30,135,875",-,0.7666,-, 98.3138 ,-,22.7319,-,84.9884,-,76.0128,-,86.1116,-
,,,,,,,,,,,,,,,,,,
010000,AMAZONAS,,,,"417,508",20,0.6280,20, 94.9420 ,24,13.3134,14,76.3283,24,54.3545,17,66.1626,24
010100,,Chachapoyas,,,"54,783",113,0.7737,26, 98.6179 ,59,25.4500,13,91.4986,32,70.3454,54,83.9712,52
010200,,Bagua,,,"77,438",79,0.6623,82, 94.6079 ,180,14.6091,49,79.7902,114,64.4790,67,67.9146,119
010300,,Bongará,,,"32,317",145,0.6318,103, 97.4681 ,113,9.0102,114,76.4240,133,54.8341,96,72.1693,105
010400,,Condorcanqui,,,"51,802",119,0.4598,191, 86.2320 ,192,8.5570,120,52.2149,191,37.7145,156,39.4891,191
010500,,Luya,,,"52,185",117,0.6047,126, 96.1927 ,155,12.4180,70,74.7260,143,43.3484,136,67.3961,123
010600,,Rodríguez de Mendoza,,,"30,236",153,0.6312,104, 97.3431 ,117,14.8787,48,79.4244,115,46.5018,124,67.5461,120
010700,,Utcubamba,,,"118,747",51,0.6097,121, 95.1745 ,174,10.1102,101,77.1683,127,52.5195,104,63.1177,140
020000,ANCASH,,,,"1,129,391",10,0.7358,11, 97.6643 ,17,15.9047,10,84.5823,15,73.8504,10,85.3119,9
020100,,Huaraz,,,"161,003",31,0.8119,15, 98.5073 ,65,21.8066,17,95.0063,12,82.9326,27,93.1496,16
020200,,Aija,,,"7,974",193,0.6579,87, 98.2344 ,80,8.5940,118,89.4989,46,47.7841,121,79.1220,69
020300,,Antonio Raymondi,,,"16,879",177,0.6113,117, 96.8158 ,136,4.9923,169,77.7374,124,48.9181,118,73.8765,98
020400,,Asunción,,,"9,013",188,0.6975,57, 97.1484 ,123,17.1890,36,81.5383,103,67.1184,61,74.2923,97
020500,,Bolognesi,,,"32,452",143,0.6757,70, 96.3740 ,149,9.4165,109,85.2385,71,61.3850,77,79.1416,68
020600,,Carhuaz,,,"46,434",128,0.6956,58, 98.4724 ,68,10.2247,100,72.0570,154,73.2979,46,86.9098,39
020700,,Carlos Fermín Fitzcarrald,,,"21,920",171,0.4982,184, 97.0656 ,126,9.0871,112,59.7295,186,29.4336,177,47.7474,178
020800,,Casma,,,"46,032",129,0.7466,39, 96.9521 ,131,10.0441,103,89.7711,43,81.9572,29,87.8770,34
020900,,Corongo,,,"8,340",190,0.6702,74, 96.2646 ,152,11.3027,81,78.1769,118,61.6929,74,80.1392,64
021000,,Huari,,,"63,726",96,0.6746,71, 97.3123 ,118,14.0870,54,76.3536,134,60.0936,79,80.0751,65
021100,,Huarmey,,,"29,972",154,0.7574,32, 98.0051 ,88,13.3628,59,95.5122,10,75.2566,40,87.6444,35
021200,,Huaylas,,,"56,102",111,0.6615,84, 97.3926 ,116,14.3251,53,63.7338,176,69.3450,56,76.4138,80
021300,,Mariscal Luzuriaga,,,"23,888",164,0.5188,180, 96.6549 ,143,5.2020,167,69.0840,163,31.2854,173,53.7286,166
021400,,Ocros,,,"10,283",186,0.6367,97, 97.9574 ,92,7.4294,131,93.4748,23,42.7468,140,71.7650,106
021500,,Pallasca,,,"30,536",152,0.6122,116, 94.5362 ,181,9.7786,107,75.6362,136,44.6600,132,74.9557,88
021600,,Pomabamba,,,"29,196",155,0.5789,147, 96.6389 ,144,14.5264,50,63.9210,175,49.7640,116,54.9378,165
021700,,Recuay,,,"19,509",172,0.7110,52, 97.7199 ,106,10.2591,98,90.2889,39,73.4154,45,76.9919,75
021800,,Santa,,,"427,157",9,0.8245,12, 98.0871 ,83,19.7013,24,96.4346,8,88.6281,11,96.2817,8
021900,,Sihuas,,,"31,006",150,0.6091,122, 96.7049 ,142,12.0564,75,69.5418,162,43.0137,138,75.1775,85
022000,,Yungay,,,"57,969",104,0.6249,109, 97.2750 ,120,10.2298,99,62.3540,177,67.3776,60,68.3959,117
030000,APURÍMAC,,,,"451,881",19,0.6709,16, 97.5982 ,18,11.0901,19,85.4175,11,55.8086,16,78.1233,16
030100,,Abancay,,,"105,694",55,0.7466,38, 97.9042 ,97,16.9311,38,93.6909,21,63.0011,71,90.5064,24
030200,,Andahuaylas,,,"163,662",30,0.7180,46, 98.3660 ,74,12.4028,71,83.7088,87,72.2970,50,83.9755,51
030300,,Antabamba,,,"13,399",180,0.5700,156, 96.1608 ,157,5.3211,166,91.0550,35,25.2835,185,63.6509,136
030400,,Aymaraes,,,"32,722",141,0.6110,118, 97.5102 ,111,4.9546,170,92.2419,29,34.5556,165,72.9106,102
030500,,Cotabambas,,,"51,667",121,0.5426,172, 95.6449 ,168,6.0624,155,74.0475,146,33.9880,167,57.4942,158
030600,,Chincheros,,,"57,750",106,0.6240,110, 97.9660 ,91,7.1636,133,81.5050,104,53.1857,99,67.3993,122
030700,,Grau,,,"26,987",160,0.5827,142, 95.6384 ,169,8.5845,119,82.4632,98,27.8333,179,71.1088,109
040000,AREQUIPA,,,,"1,245,251",8,0.8593,3, 99.1734 ,6,34.3638,3,91.3517,2,89.6092,4,92.2613,6
040100,,Arequipa,,,"936,464",2,0.9075,2, 99.4183 ,18,40.4944,2,93.4114,24,95.5408,6,97.8951,7
040200,,Camaná,,,"57,187",109,0.7811,23, 98.7280 ,55,21.3335,19,90.3838,38,82.9674,26,82.8930,55
040300,,Caravelí,,,"39,317",135,0.6946,60, 98.4929 ,67,17.5497,34,80.9079,111,63.4413,70,75.1853,84
040400,,Castilla,,,"38,990",136,0.7406,42, 98.5589 ,64,12.3108,73,82.4863,97,85.1320,18,83.6063,53
040500,,Caylloma,,,"86,542",70,0.6621,83, 98.5780 ,62,10.9773,85,84.3677,79,58.4541,86,71.3575,107
