ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL
010100,010000,AMAZONAS,Chachapoyas,0.7737, 98.6179 ,25.4500,91.4986,70.3454,83.9712,54783,0,1
010200,010000,AMAZONAS,Bagua,0.6623, 94.6079 ,14.6091,79.7902,64.4790,67.9146,77438,0,0
010300,010000,AMAZONAS,Bongara,0.6318, 97.4681 ,9.0102,76.4240,54.8341,72.1693,32317,0,0
010400,010000,AMAZONAS,Condorcanqui,0.4598, 86.2320 ,8.5570,52.2149,37.7145,39.4891,51802,0,0
010500,010000,AMAZONAS,Luya,0.6047, 96.1927 ,12.4180,74.7260,43.3484,67.3961,52185,0,0
010600,010000,AMAZONAS,Rodriguez de Mendoza,0.6312, 97.3431 ,14.8787,79.4244,46.5018,67.5461,30236,0,0
010700,010000,AMAZONAS,Utcubamba,0.6097, 95.1745 ,10.1102,77.1683,52.5195,63.1177,118747,0,0
020100,020000,ANCASH,Huaraz,0.8119, 98.5073 ,21.8066,95.0063,82.9326,93.1496,161003,0,1
020200,020000,ANCASH,Aija,0.6579, 98.2344 ,8.5940,89.4989,47.7841,79.1220,7974,0,0
020300,020000,ANCASH,Antonio Raymondi,0.6113, 96.8158 ,4.9923,77.7374,48.9181,73.8765,16879,0,0
020400,020000,ANCASH,Asuncion,0.6975, 97.1484 ,17.1890,81.5383,67.1184,74.2923,9013,0,0
020500,020000,ANCASH,Bolognesi,0.6757, 96.3740 ,9.4165,85.2385,61.3850,79.1416,32452,0,0
020600,020000,ANCASH,Carhuaz,0.6956, 98.4724 ,10.2247,72.0570,73.2979,86.9098,46434,0,0
020700,020000,ANCASH,Carlos Fermin Fitzcarrald,0.4982, 97.0656 ,9.0871,59.7295,29.4336,47.7474,21920,0,0
020800,020000,ANCASH,Casma,0.7466, 96.9521 ,10.0441,89.7711,81.9572,87.8770,46032,1,0
020900,020000,ANCASH,Corongo,0.6702, 96.2646 ,11.3027,78.1769,61.6929,80.1392,8340,0,0
021000,020000,ANCASH,Huari,0.6746, 97.3123 ,14.0870,76.3536,60.0936,80.0751,63726,0,0
021100,020000,ANCASH,Huarmey,0.7574, 98.0051 ,13.3628,95.5122,75.2566,87.6444,29972,1,0
021200,020000,ANCASH,Huaylas,0.6615, 97.3926 ,14.3251,63.7338,69.3450,76.4138,56102,0,0
021300,020000,ANCASH,Mariscal Luzuriaga,0.5188, 96.6549 ,5.2020,69.0840,31.2854,53.7286,23888,0,0
021400,020000,ANCASH,Ocros,0.6367, 97.9574 ,7.4294,93.4748,42.7468,71.7650,10283,0,0
021500,020000,ANCASH,Pallasca,0.6122, 94.5362 ,9.7786,75.6362,44.6600,74.9557,30536,0,0
021600,020000,ANCASH,Pomabamba,0.5789, 96.6389 ,14.5264,63.9210,49.7640,54.9378,29196,0,0
021700,020000,ANCASH,Recuay,0.7110, 97.7199 ,10.2591,90.2889,73.4154,76.9919,19509,0,0
021800,020000,ANCASH,Santa,0.8245, 98.0871 ,19.7013,96.4346,88.6281,96.2817,427157,1,0
021900,020000,ANCASH,Sihuas,0.6091, 96.7049 ,12.0564,69.5418,43.0137,75.1775,31006,0,0
022000,020000,ANCASH,Yungay,0.6249, 97.2750 ,10.2298,62.3540,67.3776,68.3959,57969,0,0
030100,030000,APURIMAC,Abancay,0.7466, 97.9042 ,16.9311,93.6909,63.0011,90.5064,105694,0,1
030200,030000,APURIMAC,Andahuaylas,0.7180, 98.3660 ,12.4028,83.7088,72.2970,83.9755,163662,0,0
030300,030000,APURIMAC,Antabamba,0.5700, 96.1608 ,5.3211,91.0550,25.2835,63.6509,13399,0,0
030400,030000,APURIMAC,Aymaraes,0.6110, 97.5102 ,4.9546,92.2419,34.5556,72.9106,32722,0,0
030500,030000,APURIMAC,Cotabambas,0.5426, 95.6449 ,6.0624,74.0475,33.9880,57.4942,51667,0,0
